Issue,R1,R2,R3,R4,R5,R6,Blue
24128,01,08,13,18,20,26,16
24129,09,10,13,19,24,32,01
24130,01,08,12,17,19,24,16
24131,04,13,14,29,30,33,09
24132,01,04,11,12,22,33,16
24133,01,11,15,27,30,33,01
24134,01,03,06,16,21,33,05
24135,01,06,09,25,27,29,10
24136,01,10,11,15,30,31,06
24137,07,10,11,15,19,21,01
24138,07,11,19,26,31,32,15
24139,02,14,20,23,28,31,11
24140,09,11,13,22,25,32,03
24141,04,05,17,21,23,29,01
24142,01,03,13,16,21,27,06
24143,01,05,09,16,18,27,03
24144,02,11,12,21,25,31,08
24145,03,09,16,17,20,26,02
24146,05,09,11,13,24,27,09
24147,01,02,05,09,25,32,10
24148,08,10,14,23,28,32,12
24149,02,08,11,23,27,29,05
